kit,system,system_label,token_nll,token_ppl,token_acc,rmse,mae,mr_stft_sc,env_rms_corr,tter_db_mae,onset_precision,onset_recall,onset_f1,fad
ClassicMetal (80s-90s),xcodec,xcodec_allkits,4.404779495991067,104.11869725890547,0.1314832445804188,0.037618916614882536,0.01800852490698678,1.9079790301326967,0.6341444699386191,1.893880489301158,0.7893417959842614,0.6213730971030621,0.6771045084261952,
Dark Hybrid,dac,dac_allkits,6.2448505479970295,553.6319219622475,0.035482952098609626,0.021942787511110083,0.011140144942433686,0.9997034654491797,0.6465710280826907,1.9751790507024816,0.7687730739598143,0.6673846562470869,0.6873532901486625,
Dark Hybrid,encodec,encodec_allkits,2.3133020182854116,13.120285705588733,0.3922587393374791,0.02419284086879157,0.012300497244175198,0.7903166195835047,0.7056468361257622,1.1688555197680033,0.7995249524541292,0.6791491320199786,0.7151431735071662,
Dark Hybrid,xcodec,xcodec_allkits,4.5200358618315075,109.07737871146568,0.11852507703119151,0.036749622726396876,0.018778395485315135,1.3670979500196507,0.5981035355772605,2.373739507399844,0.8556966566716984,0.6155716249611398,0.6956855083512816,
Deep Daft,dac,dac_allkits,6.020442999882338,458.96141679607956,0.0540652558992463,0.015382419697595273,0.008683080519391121,1.0345205436427085,0.44156953133672916,1.7587565994646535,0.7401211545409515,0.676034454872227,0.6820023097074914,
Deep Daft,encodec,encodec_allkits,1.9696858108844992,8.89102278789565,0.46442571742174726,0.01684773300161042,0.009393982984916043,0.8194631135121926,0.6916343127297269,1.4615191905241451,0.7927053062696988,0.712031534202047,0.7296739406751573,
Deep Daft,xcodec,xcodec_allkits,4.374586801507108,99.08009894521774,0.13201814838852213,0.02722743412662565,0.015091009414496481,1.5905101295038122,0.5266771704912133,1.7456035695776397,0.789027510233723,0.6603632785276031,0.6997891365642077,
Dry & Heavy (Folk Rock),dac,dac_allkits,6.1758629599206785,523.4254162746954,0.04473290187955559,0.01572834284128347,0.007708069484595387,0.9838265641410172,0.6172314444390896,1.8528402798388262,0.7728465678825799,0.6741516650256932,0.6979509338672546,
Dry & Heavy (Folk Rock),encodec,encodec_allkits,1.98275104226455,9.298283563337254,0.469929094456309,0.017868563350122154,0.00874134066260164,0.8247608205703126,0.7073788570385389,1.3965286935272316,0.8140950588692725,0.6779776364287925,0.7225126091043265,
Dry & Heavy (Folk Rock),xcodec,xcodec_allkits,4.536869434933913,115.13131028757282,0.11567465330770602,0.03540659109280759,0.016791899549451813,2.0291706205604805,0.6489421481210204,2.626949954251459,0.8333688631314269,0.5974750545039009,0.6767522403841054,
Ele-Drum,dac,dac_allkits,6.045236091635543,483.344470748001,0.05852023099980497,0.025035782325275008,0.014343518179559561,0.9864605738304657,0.7024194622346926,1.6206465034665043,0.702452295419785,0.6677146155124422,0.661426733477568,
Ele-Drum,encodec,encodec_allkits,2.4614559517297296,14.72350388863431,0.35941824577429926,0.026239782565429637,0.014930584784116753,0.8340524103251935,0.7486629976362795,1.5860820953224466,0.7373098166253357,0.6556756873560078,0.6670720277957083,
Ele-Drum,xcodec,xcodec_allkits,4.269051586248015,89.75320981255325,0.12876616398410967,0.05814551166556351,0.03550683945899022,2.485999258487202,0.542351373889034,1.8769239033561282,0.7602848998277232,0.6831788517266618,0.7030716571405561,
Fat Rock (Power Toms),dac,dac_allkits,6.287827935263847,576.364756668481,0.03762890677396985,0.020695793373953764,0.010572766346253405,1.0796159473192928,0.6219549884461355,2.2031118141748265,0.743447890239942,0.703917540538831,0.700774103475138,
Fat Rock (Power Toms),encodec,encodec_allkits,2.245753844235035,12.883974369720278,0.42089350104039636,0.021350495597954874,0.010690243992499094,0.8154463916924016,0.7145631882253143,1.5440891874554634,0.7719746935305882,0.6811040351288699,0.7058791726334385,
Fat Rock (Power Toms),xcodec,xcodec_allkits,4.486434583194473,114.08255784651644,0.12202786885195227,0.03844217230721115,0.020847421115953276,1.8087667227764794,0.5776597556635437,1.8555806699279302,0.7893873633675035,0.6479144281548693,0.6882330246421398,
Funk Rock,dac,dac_allkits,6.258325571258227,565.0368497464013,0.041602851620816096,0.02081094988540137,0.011256935188390842,1.1943192378238983,0.5729494720066372,1.518643899731075,0.7248071040771321,0.6588287903328245,0.666970053118765,
Funk Rock,encodec,encodec_allkits,2.287952867764937,13.904526526358248,0.41240120203740577,0.018728562421637212,0.010086983209048378,0.8174087897377329,0.7456306543865016,1.4063793621459568,0.7743116394339822,0.6913561086029826,0.7054551769404356,
Funk Rock,xcodec,xcodec_allkits,4.471134415480311,110.08016213847617,0.1208644902656319,0.03177386580084855,0.017973765610438616,1.8395080344175827,0.5334773465652296,2.5032886486925423,0.7968752553072936,0.6561843127066681,0.6971534776563553,
Heavy Metal,dac,dac_allkits,6.344943147058891,603.3310307840167,0.032307598999301794,0.023836984051006177,0.01326338804226527,1.0297579750299022,0.6587130292068573,2.399262483287241,0.7364395648086086,0.6596096234055425,0.6685361426659375,
Heavy Metal,encodec,encodec_allkits,2.540406606575683,18.11755068513728,0.3709575754365694,0.024016669083013975,0.013336778869326434,0.8381727827731852,0.7466790856356604,1.518724697023067,0.778673840819257,0.6503485448644103,0.6811172688653014,
Heavy Metal,xcodec,xcodec_allkits,4.478731874333912,109.75247409499991,0.12339648867515185,0.037248924244840456,0.0219401719043473,1.7189607258890827,0.334373637722692,2.2762402044810965,0.7769713839652903,0.6382467831175004,0.674828221790772,
Jazz,dac,dac_allkits,6.2204146391671635,551.7449098833007,0.039566384432956216,0.01399742477848347,0.0072940068189583235,0.9972512376859454,0.5849634159843898,2.100998470466346,0.7665950506530075,0.67686439779937,0.6940463958246199,
Jazz,encodec,encodec_allkits,2.0449872287224715,9.991123798826228,0.4512353596470241,0.015821083946720427,0.00815014562432846,0.823682667740569,0.6948703205479081,1.4144983329001661,0.7566200622862066,0.6965088786995067,0.7013410066085929,
Jazz,xcodec,xcodec_allkits,4.419591680816982,104.48587607105594,0.12673814549783177,0.02402400362826818,0.012456280165874188,1.4734347742079807,0.5836754805880978,1.7448380857922468,0.7803285862411817,0.6623145280723168,0.6920066167776585,
Jazz Funk,dac,dac_allkits,6.182153428597115,531.9398190194336,0.04773378277052744,0.017402758896079017,0.008103464026288674,1.084509057496146,0.6684022821336477,1.5371007427508592,0.7676321183232567,0.6976967343408546,0.7096480377538653,
Jazz Funk,encodec,encodec_allkits,2.11783695922931,11.634612895821773,0.4533235773749859,0.017432033787445445,0.008323475735171096,0.8680304371543858,0.7269878976289874,1.3662916012254758,0.7467476163343507,0.712588965715408,0.7058950748419096,
Jazz Funk,xcodec,xcodec_allkits,4.465975341349243,111.38868471506342,0.12471064992542474,0.03796612378517649,0.018600947398844395,2.445140536301879,0.6509656367344917,2.6973990844210283,0.7853664535092587,0.6446071607715522,0.6908582751847583,
JingleStacks (2nd Hi-Hat),dac,dac_allkits,6.112731890833897,500.2775730191302,0.052041839338278724,0.01748136331447188,0.008631435969651251,0.994196960299636,0.6695050266385647,1.6737827792860436,0.7855920131089215,0.6805970714540353,0.7051246869722401,
JingleStacks (2nd Hi-Hat),encodec,encodec_allkits,2.1147625784579347,11.586938429560265,0.45427827074043853,0.018084527833351065,0.008936400742578073,0.8496275883942604,0.72635200751246,1.3742412095289167,0.7650616378667444,0.6797803329200633,0.695100193412382,
