setting,system,kit,n_test,token_nll_mean,token_nll_std,token_ppl_mean,token_ppl_std,token_acc_mean,token_acc_std,rmse_mean,rmse_std,mae_mean,mae_std,mr_stft_sc_mean,mr_stft_sc_std,env_rms_corr_mean,env_rms_corr_std,tter_db_mae_mean,tter_db_mae_std,onset_precision_mean,onset_precision_std,onset_recall_mean,onset_recall_std,onset_f1_mean,onset_f1_std,fad
big_all_kits,dac,ClassicMetal (80s-90s),1748,6.477320009565463,0.224192269422828,664.3631387577983,124.23160399052934,0.03773523800691761,0.06192535999614524,0.01692854520400941,0.009536862002284364,0.007851674625319055,0.0050763942399596525,0.9983709572641184,0.0024959760756533807,-0.08399367133731939,0.15248054224159618,4.364777167355765,2.637873821049546,0.8452517162471396,0.2656869999602077,0.13556642889987744,0.065068744295436,0.22946612912754139,0.09530196034688627,
big_all_kits,dac,Dark Hybrid,1748,6.561120535470801,0.18773759486963554,717.2595359745717,105.33800608478151,0.015683610697701172,0.0473105658563177,0.01998758288660582,0.009961530540104652,0.010047970901948288,0.006010919368722557,0.9985940818615411,0.0019705965391306757,-0.0800843813887787,0.14297780392842083,2.7485181695684178,1.832949633750582,0.8452517162471396,0.2656869999602077,0.13557376328936285,0.06507152681681044,0.2294770259347769,0.09530730202678793,
big_all_kits,dac,Deep Daft,1748,6.464531475946614,0.1943003327657269,652.170133759374,102.38642509695408,0.02490754502212341,0.05214955958837877,0.013453694048325339,0.0067913430467782905,0.007486243542240269,0.004379596235349151,0.9975448054165517,0.0016820896810667398,-0.19355280605607414,0.16819229109310396,3.199814197115356,2.054472871937465,0.8452517162471396,0.2656869999602077,0.13556642889987744,0.065068744295436,0.22946612912754139,0.09530196034688627,
big_all_kits,dac,Dry & Heavy (Folk Rock),1748,6.491144388982306,0.2004994755375529,670.4501165507558,108.6218021187767,0.02845089542841794,0.05413470726679798,0.014390651977997429,0.007973825836060825,0.007005758638655786,0.004221168977084174,0.9974455951209883,0.003084559586189347,-0.13596689441100926,0.15812086884930068,3.481924263576748,2.0686096137551,0.8452517162471396,0.2656869999602077,0.13556642889987744,0.065068744295436,0.22946612912754139,0.09530196034688627,
big_all_kits,dac,Ele-Drum,1752,6.50909106263287,0.2433457754324464,688.3875339488144,136.95857667136593,0.03873350120553736,0.06712052853660869,0.02089462885946304,0.011069718939897657,0.012231324417733301,0.006938276875618008,0.998672889415944,0.0011710431990401239,-0.1558039672643645,0.16289370392726923,3.409350730496395,2.7703588413120994,0.8441780821917808,0.26599582046699727,0.13544444301971018,0.06496161441405543,0.22924567217269765,0.09515342273286181,
big_all_kits,dac,Fat Rock (Power Toms),1747,6.550887473870088,0.19174733168114644,710.3308022241567,106.03968845909166,0.02342503168220238,0.051336347190796855,0.017107441556113316,0.00862419264931486,0.008602487979672642,0.005098365771491942,0.998587218190134,0.0019139875140983568,-0.09040601371543597,0.15395330848126768,3.0013656294090185,1.8272112146878692,0.8454493417286777,0.26563455823187304,0.13561222791152275,0.06505919241357001,0.22954023681450622,0.09527886759534966,
big_all_kits,dac,Funk Rock,1748,6.554965263646037,0.21224051501100055,716.1196376990902,123.41967033394263,0.02676744363046831,0.0546980147684092,0.014731927035087604,0.007389940628980264,0.00793180412052558,0.004860367338887326,0.9981721689876516,0.0026915579350940302,-0.08522530862059334,0.15982573614628204,3.469938929671505,2.1430643297053646,0.8452517162471396,0.2656869999602077,0.13556642889987744,0.065068744295436,0.22946612912754139,0.09530196034688627,
big_all_kits,dac,Heavy Metal,1748,6.615387017175862,0.19501840636127635,758.2311254326407,117.64004558970429,0.019203076803389167,0.04767279735752364,0.01841590978710406,0.009239379325557838,0.010407222561132516,0.005916439123364931,0.9984793988393523,0.002123222633283783,-0.0581602614169921,0.15685393703085765,2.198776246525359,1.5796133658996196,0.8452517162471396,0.2656869999602077,0.13556642889987744,0.065068744295436,0.22946612912754139,0.09530196034688627,
big_all_kits,dac,Jazz,1748,6.509595134438312,0.1921483914402988,681.8623968851924,104.22320556939226,0.02194270279706989,0.04949681209025072,0.012434911231229164,0.006930628952917461,0.006375512924166909,0.0038775814897185077,0.9980706165859697,0.0020534268844995146,-0.1480501785752149,0.170417821144594,2.838529648194337,1.7517076529223305,0.8452517162471396,0.2656869999602077,0.13556642889987744,0.065068744295436,0.22946612912754139,0.09530196034688627,
big_all_kits,dac,Jazz Funk,1747,6.487036071781711,0.2164474392754316,669.6357556896825,118.02145211143285,0.030712846558921147,0.05688619815135417,0.013450902048544712,0.0061506637016902,0.006409986316643643,0.0037119672841941466,0.9983229964219802,0.0022755069429138282,-0.0820106490571388,0.14009614254862837,4.204709563519088,2.381082160605438,0.8454493417286777,0.26563455823187304,0.13561222791152275,0.06505919241357001,0.22954023681450622,0.09527886759534966,
